AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
202	SAMN00012606	SRX144838	Ba-1_gDNA	2012-05-18	11316	7952	2012-05-31	SRR492211	SRS071799	Ba-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012607	SRX144839	Baa-1	2012-05-18	9911	6961	2012-05-31	SRR492417	SRS071800	Baa-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012609	SRX144840	Bch-1_gDNA	2012-08-12	8515	5718	2012-05-31	SRR492212	SRS071802	Bch-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012610	SRX144841	Bd-0_gDNA	2012-08-12	8055	5250	2012-05-31	SRR492213	SRS071803	Bd-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012612	SRX144842	Benk-1_gDNA	2012-08-12	7448	4892	2012-05-31	SRR492214	SRS071805	Benk-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012613	SRX144843	Ber_gDNA	2012-08-12	7418	4844	2012-05-31	SRR492215	SRS071806	Ber	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012614	SRX144845	Bik-1_gDNA	2012-08-12	11151	7418	2012-05-31	SRR492217	SRS071807	Bik-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012615	SRX144846	Bl-1_gDNA	2012-08-12	7911	5205	2012-05-31	SRR492218	SRS071808	Bl-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012616	SRX144847	Boot-1_gDNA	2012-05-30	9394	6623	2012-05-31	SRR492220	SRS071809	Boot-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012617	SRX144848	Bor-1_gDNA	2012-08-12	8452	5896	2012-05-31	SRR492221	SRS071810	Bor-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012618	SRX144849	Bor-4_gDNA	2012-05-19	14777	10409	2012-05-31	SRR492222	SRS071811	Bor-4	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012619	SRX144850	Br-0_gDNA	2012-05-16	20569	14439	2012-05-31	SRR492223	SRS071812	Br-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012620	SRX144851	Bs-1_gDNA	2012-08-12	8062	5293	2012-05-31	SRR492224	SRS071813	Bs-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012621	SRX144852	Bsch-0_gDNA	2012-08-12	6376	4227	2012-05-31	SRR492225	SRS071814	Bsch-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012622	SRX144853	Bu-0_gDNA	2012-08-12	11896	7973	2012-05-31	SRR492226	SRS071815	Bu-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012623	SRX144855	Ca-0_gDNA	2012-08-12	13062	8754	2012-05-31	SRR492228	SRS071816	Ca-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012624	SRX144856	Cal-0_gDNA	2012-05-21	11460	7715	2012-05-31	SRR492229	SRS071817	Cal-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012626	SRX144857	Cerv-1_gDNA	2012-05-21	4598	3085	2012-05-31	SRR492230	SRS071819	Cerv-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012627	SRX144858	Chat-1_gDNA	2012-08-12	9234	6149	2012-05-31	SRR492231	SRS071820	Chat-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012628	SRX144859	Chi-0_gDNA	2012-08-12	6886	4541	2012-05-31	SRR492232	SRS071821	Chi-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012629	SRX144861	CIBC-5_gDNA	2012-08-12	14871	10064	2012-05-31	SRR492234	SRS071822	CIBC-5	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012631	SRX144862	Cnt-1_gDNA	2012-08-12	8116	5331	2012-05-31	SRR492235	SRS071824	Cnt-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012632	SRX144864	Co-1_gDNA	2012-08-12	7535	4959	2012-05-31	SRR492237	SRS071825	Co-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012633	SRX144865	Com-1_gDNA	2012-08-12	8540	5677	2012-05-31	SRR492238	SRS071826	Com-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012634	SRX144867	Da(1)-12_gDNA	2012-05-30	7435	4853	2012-05-31	SRR492240	SRS071827	Da(1)-12	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012635	SRX144868	Db-1_gDNA	2012-05-17	14192	9949	2012-05-31	SRR492241	SRS071828	Db-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012636	SRX144871	Dja-1_gDNA	2012-08-12	7743	5156	2012-05-31	SRR492244	SRS071829	Dja-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012637	SRX144872	Do-0_gDNA	2012-05-17	12751	8965	2012-05-31	SRR492245	SRS071830	Do-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012638	SRX144873	Dr-0_gDNA	2012-08-12	7320	4772	2012-05-31	SRR492246	SRS071831	Dr-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012639	SRX144874	Dra-0_gDNA	2012-08-12	6790	4418	2012-05-31	SRR492247	SRS071832	Dra-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012640	SRX144878	Durh-1_gDNA	2012-05-22	7271	4776	2012-05-31	SRR492251	SRS071833	Durh-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012641	SRX144879	Ei-2_gDNA	2012-08-12	9080	6345	2012-05-31	SRR492252	SRS071834	Ei-2	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012642	SRX144880	El-0_gDNA	2012-08-12	16099	11233	2012-05-31	SRR492254	SRS071835	El-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012643	SRX144881	Ema-1_gDNA	2012-08-12	6896	4553	2012-05-31	SRR492255	SRS071836	Ema-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012644	SRX144883	En-2_gDNA	2012-05-22	8632	5746	2012-05-31	SRR492257	SRS071837	En-2	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012645	SRX144884	En-D_gDNA	2012-05-22	9539	6338	2012-05-31	SRR492258	SRS071838	En-D	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012650	SRX144886	Es-0_gDNA	2012-05-22	9219	6158	2012-05-31	SRR492260	SRS072428	Es-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012651	SRX144887	Est_gDNA	2012-08-12	7830	5180	2012-05-31	SRR492261	SRS072429	Est	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012652	SRX144889	Etna-2_gDNA	2012-08-12	5972	3913	2012-05-31	SRR492263	SRS072430	Etna-2	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012653	SRX144890	Fi-0_gDNA	2012-05-21	8539	5688	2012-05-31	SRR492264	SRS072431	Fi-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012654	SRX144891	Fr-2_gDNA	2012-08-12	7626	5029	2012-05-31	SRR492265	SRS072432	Fr-2	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012655	SRX144892	Ga-0_gDNA	2012-05-22	7793	5186	2012-05-31	SRR492266	SRS072433	Ga-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012657	SRX144894	Gel-1_gDNA	2012-05-17	14783	10388	2012-05-31	SRR492268	SRS072435	Gel-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012658	SRX144895	Gie-0_gDNA	2012-05-18	8609	6076	2012-05-31	SRR492269	SRS072436	Gie-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012659	SRX144896	Gifu-2_gDNA	2012-05-22	10304	6849	2012-05-31	SRR492270	SRS072437	Gifu-2	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012660	SRX144898	Got-7_gDNA	2012-05-22	10417	6920	2012-05-31	SRR492272	SRS072438	Got-7	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012678	SRX144899	Gr-1_gDNA	2012-08-12	7483	4953	2012-05-31	SRR492273	SRS072456	Gr-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012679	SRX144900	Gre-0_gDNA	2012-08-12	6783	4420	2012-05-31	SRR492253	SRS072457	Gre-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012680	SRX144901	Gu-0_gDNA	2012-08-12	6611	4147	2012-05-31	SRR492274	SRS072458	Gu-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012681	SRX144902	Gy-0_gDNA	2012-08-12	7259	4762	2012-05-31	SRR492275	SRS072459	Gy-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012682	SRX144903	Ha-0_gDNA	2012-05-23	7627	5079	2012-05-31	SRR492276	SRS072460	Ha-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012684	SRX144904	Hau-0_gDNA	2015-09-11	5577	3657	2015-07-22	SRR492277	SRS072462	Hau-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012685	SRX144906	Hh-0_gDNA	2012-05-23	8616	5723	2012-05-31	SRR492279	SRS072463	Hh-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012686	SRX144910	HR-5_gDNA	2012-05-23	6803	4465	2012-05-31	SRR492283	SRS072464	HR-5	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012688	SRX144911	Hs-0_gDNA	2012-08-12	6594	4135	2012-05-31	SRR492284	SRS072466	Hs-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012689	SRX144913	In-0_gDNA	2012-05-24	4966	3256	2012-05-31	SRR492286	SRS072467	In-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012690	SRX144914	Is-0_gDNA	2012-05-24	6064	3968	2012-05-31	SRR492287	SRS072468	Is-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012691	SRX144915	Je-0_gDNA	2012-05-24	5891	3882	2012-05-31	SRR492288	SRS072469	Je-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012692	SRX144916	Jl-3_gDNA	2012-08-12	6008	3773	2012-05-31	SRR492289	SRS072470	Jl-3	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012693	SRX144917	Jm-0_gDNA	2012-08-12	8221	5147	2012-05-31	SRR492290	SRS072471	Jm-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012695	SRX144918	Kar-1_gDNA	2012-05-22	14109	9476	2012-05-31	SRR492291	SRS072473	Kar-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012696	SRX144919	Kas-1_gDNA	2012-05-24	12687	8668	2012-05-31	SRR492292	SRS072474	Kas-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012697	SRX144921	Kb-0_gDNA	2012-08-12	17787	12403	2012-05-31	SRR492294	SRS072475	Kb-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012698	SRX144922	Kelsterbach-4_gDNA	2012-08-12	8096	5080	2012-05-31	SRR492295	SRS072476	Kelsterbach-4	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012699	SRX144924	Kil-0_gDNA	2012-08-12	7983	5039	2012-05-31	SRR492297	SRS072477	Kil-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012700	SRX144925	Kin-0_gDNA	2012-05-23	7733	5130	2012-05-31	SRR492298	SRS072478	Kin-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012701	SRX144926	Kl-5_gDNA	2012-08-12	15260	10684	2012-05-31	SRR492299	SRS072479	Kl-5	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012703	SRX144927	Knox-10_gDNA	2012-05-16	10462	7216	2012-05-31	SRR492300	SRS072481	Knox-10	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012704	SRX144928	Knox-18_gDNA	2012-05-30	7820	5236	2012-05-31	SRR492301	SRS072482	Knox-18	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012705	SRX144929	Ko-2_gDNA	2012-05-24	5935	3884	2012-05-31	SRR492302	SRS072483	Ko-2	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012706	SRX144931	Kondara_gDNA	2012-05-22	8867	5893	2012-05-31	SRR492304	SRS072484	Kondara	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012707	SRX144932	Kro-0_gDNA	2012-05-22	8463	5618	2012-05-31	SRR492305	SRS072485	Kro-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012708	SRX144933	Krot-0_gDNA	2012-05-22	13154	8795	2012-05-31	SRR492306	SRS072486	Krot-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012709	SRX144934	Kyoto_gDNA	2012-08-12	7403	5169	2012-05-31	SRR492307	SRS072487	Kyoto	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012711	SRX144935	Kz-9_gDNA	2012-05-23	9186	6161	2012-05-31	SRR492308	SRS072489	Kz-9	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012712	SRX144936	La-0_gDNA	2012-08-12	15179	10572	2012-05-31	SRR492309	SRS072490	La-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012713	SRX144937	Lan-0_gDNA	2012-05-17	18833	13274	2012-05-31	SRR492310	SRS072491	Lan-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012714	SRX144938	Le-0_gDNA	2012-05-23	6906	4324	2012-05-31	SRR492311	SRS072492	Le-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012715	SRX144939	Li-2:1_gDNA	2012-05-30	6663	4188	2012-05-31	SRR492312	SRS072493	Li-2:1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
